,movieid,keywords
0,862,"jealousy, toy, boy, friendship, friends"
1,8844,"board game, disappearance, based on children's book, new home, recluse"
2,15602,"fishing, best friend, duringcreditsstinger, old men, null"
3,31357,"based on novel, interracial relationship, single mother, divorce, chick flick"
4,11862,"baby, midlife crisis, confidence, aging, daughter"
5,949,"robbery, detective, bank, obsession, chase"
6,11860,"paris, brother brother relationship, chauffeur, long island, fusion"
7,45325,"null, null, null, null, null"
8,9091,"terrorist, hostage, explosive, vice president, null"
9,710,"cuba, falsely accused, secret identity, computer virus, secret base"
10,9087,"white house, usa president, new love, widower, wildlife conservation"
11,12110,"dracula, spoof, null, null, null"
12,21032,"wolf, dog-sledding race, alaska, dog, goose"
13,10858,"usa president, presidential election, watergate scandal, biography, government"
14,1408,"exotic island, treasure, map, ship, scalp"
15,524,"poker, drug abuse, 1970s, overdose, illegal prostitution"
16,4584,"bowling, based on novel, servant, country life, jane austen"
17,5,"hotel, new year's eve, witch, bet, hotel room"
18,9273,"africa, indigenous, human animal relationship, bat, null"
19,11517,"brother brother relationship, subway, new york city, new york subway, train robbery"
20,8012,"gambling, miami, based on novel, job, murder"
21,1710,"police brutality, psychology, police operation, police protection, serial killer"
22,9691,"competition, assassination, cia, bank, cat"
23,12665,"dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship"
24,451,"individual, prostitute, alcohol, casino, love at first sight"
25,16420,"shakespeare, jealousy, friends, moor, null"
26,9263,"1970s, female friendship, coming of age, gynecologist, photocopier"
27,17015,"captain, napoleonic wars, old flame, admiral, null"
28,902,"clone, dream, island, eye, dystopia"
29,37557,"servant, cabaret, shanghai, diva, uncle"
30,9909,"rap music, karate, high school, naval officer, teacher"
31,63,"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel"
32,78802,"null, null, null, null, null"
33,9598,"sheep, pig, affection, piglet, heroism"
34,47018,"england, painter, conscientious objector, independent film, soldier"
35,687,"prison, rape, socially deprived family, penalty, death penalty"
36,139405,"null, null, null, null, null"
37,33689,"orphan, identical twin, null, null, null"
38,9603,"puberty, high school, make a match, spoiled child, gay interest"
39,34615,"south africa, null, null, null, null"
40,31174,"england, shakespeare, kidnapping, murder, king"
41,11443,"money, loss of virginity, hiding in a dumpster, mercy killing, armored truck"
42,35196,"jealousy, medicine, fountain, court, wealth"
43,9312,"martial arts, monster, island, gore, sorcerer"
44,577,"adultery, winter, obsession, television, new hampshire"
45,11861,"wedding vows, marriage proposal, married couple, monogamy, advice"
46,807,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration"
47,10530,"culture clash, settler, forbidden love, colony, musical"
48,8391,"professor, lgbt, woman director, null, null"
49,629,"law, relatives, theft, criminal, criminal mastermind"
50,117164,"null, null, null, null, null"
51,11448,"prostitute, adoption, adoptive father, childlessness, looking for  birth parents"
52,49133,"independent film, null, null, null, null"
53,26441,"sport, kids and family, soccer, woman director, null"
54,97406,"alcohol, artist, music, drug, band"
55,124057,"null, null, null, null, null"
