,id,title,genres,vote_average
0,862,Toy Story,"Animation,Comedy,Family",7.7
1,8844,Jumanji,"Adventure,Fantasy,Family",6.9
2,15602,Grumpier Old Men,"Romance,Comedy",6.5
3,31357,Waiting to Exhale,"Comedy,Drama,Romance",6.1
4,11862,Father of the Bride Part II,Comedy,5.7
5,949,Heat,"Action,Crime,Drama,Thriller",7.7
6,11860,Sabrina,"Comedy,Romance",6.2
7,45325,Tom and Huck,"Action,Adventure,Drama,Family",5.4
8,9091,Sudden Death,"Action,Adventure,Thriller",5.5
9,710,GoldenEye,"Adventure,Action,Thriller",6.6
10,9087,The American President,"Comedy,Drama,Romance",6.5
11,12110,Dracula: Dead and Loving It,"Comedy,Horror",5.7
12,21032,Balto,"Family,Animation,Adventure",7.1
13,10858,Nixon,"History,Drama",7.1
14,1408,Cutthroat Island,"Action,Adventure",5.7
15,524,Casino,"Drama,Crime",7.8
16,4584,Sense and Sensibility,"Drama,Romance",7.2
17,5,Four Rooms,"Crime,Comedy",6.5
18,9273,Ace Ventura: When Nature Calls,"Crime,Comedy,Adventure",6.1
19,11517,Money Train,"Action,Comedy,Crime",5.4
20,8012,Get Shorty,"Comedy,Thriller,Crime",6.4
21,1710,Copycat,"Drama,Thriller",6.5
22,9691,Assassins,"Action,Adventure,Crime,Thriller",6.0
23,12665,Powder,"Drama,Fantasy,Science Fiction,Thriller",6.3
24,451,Leaving Las Vegas,"Drama,Romance",7.1
25,16420,Othello,Drama,7.0
26,9263,Now and Then,"Comedy,Drama,Family",6.6
27,17015,Persuasion,"Drama,Romance",7.4
28,902,The City of Lost Children,"Fantasy,Science Fiction,Adventure",7.6
29,37557,Shanghai Triad,"Drama,Crime",6.5
30,9909,Dangerous Minds,"Drama,Crime",6.4
31,63,Twelve Monkeys,"Science Fiction,Thriller,Mystery",7.4
32,78802,Wings of Courage,"Romance,Adventure",6.8
33,9598,Babe,"Fantasy,Drama,Comedy,Family",6.0
34,47018,Carrington,"History,Drama,Romance",6.4
35,687,Dead Man Walking,Drama,7.3
36,139405,Across the Sea of Time,"Adventure,History,Drama,Family",3.5
37,33689,It Takes Two,"Comedy,Family,Romance",6.1
38,9603,Clueless,"Comedy,Drama,Romance",6.9
39,34615,"Cry, the Beloved Country",Drama,6.7
40,31174,Richard III,"Drama,War",6.9
41,11443,Dead Presidents,"Action,Crime,Drama,History",6.6
42,35196,Restoration,"Drama,Romance",6.3
43,9312,Mortal Kombat,"Action,Fantasy",5.4
44,577,To Die For,"Fantasy,Drama,Comedy,Thriller",6.7
45,11861,How To Make An American Quilt,"Drama,Romance",6.5
46,807,Se7en,"Crime,Mystery,Thriller",8.1
47,10530,Pocahontas,"Adventure,Animation,Drama,Family",6.7
48,8391,When Night Is Falling,"Drama,Romance",5.9
49,629,The Usual Suspects,"Drama,Crime,Thriller",8.1
50,117164,Guardian Angel,"Action,Thriller,Drama",6.3
51,11448,Mighty Aphrodite,"Comedy,Romance",6.7
52,49133,Lamerica,"Drama,Foreign",7.7
53,26441,The Big Green,"Action,Adventure,Comedy,Family",5.2
54,97406,Georgia,Drama,6.1
55,124057,Kids of the Round Table,,3.0
56,9089,Home for the Holidays,"Comedy,Drama,Romance",6.3
57,11010,The Postman,"Comedy,Drama,Romance",7.6
58,99040,The Confessional,"Thriller,Drama,Mystery",6.5
59,11359,The Indian in the Cupboard,"Adventure,Family,Fantasy",5.9
60,17182,Eye for an Eye,"Drama,Thriller",5.8
61,2054,Mr. Holland's Opus,"Music,Drama,Family",6.9
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,6.2
63,19760,Two If by Sea,"Comedy,Romance",4.5
64,9536,Bio-Dome,Comedy,4.4
65,11525,Lawnmower Man 2: Beyond Cyberspace,"Action,Science Fiction",2.8
66,40628,Two Bits,"Drama,Family",5.4
67,4482,French Twist,"Comedy,Romance",6.0
68,10634,Friday,Comedy,7.0
