movieid,title,budget,revenue,profit,rating
862,Toy Story,30000000.0,373554033.0,343554033.0,3.5989304812834226
8844,Jumanji,65000000.0,262797249.0,197797249.0,3.7601626016260163
15602,Grumpier Old Men,0.0,0.0,0.0,
31357,Waiting to Exhale,16000000.0,81452156.0,65452156.0,
11862,Father of the Bride Part II,0.0,76578911.0,76578911.0,
949,Heat,60000000.0,187436818.0,127436818.0,3.905543710021322
11860,Sabrina,58000000.0,0.0,-58000000.0,
45325,Tom and Huck,0.0,0.0,0.0,
9091,Sudden Death,35000000.0,64350171.0,29350171.0,
710,GoldenEye,58000000.0,352194034.0,294194034.0,2.740333586050038
9087,The American President,62000000.0,107879496.0,45879496.0,
12110,Dracula: Dead and Loving It,0.0,0.0,0.0,
21032,Balto,0.0,11348324.0,11348324.0,
10858,Nixon,44000000.0,13681765.0,-30318235.0,
1408,Cutthroat Island,98000000.0,10017322.0,-87982678.0,3.710181451612903
524,Casino,52000000.0,116112375.0,64112375.0,3.5151697042453347
4584,Sense and Sensibility,16500000.0,135000000.0,118500000.0,2.7184115523465704
5,Four Rooms,4000000.0,4300000.0,300000.0,3.079564818455892
9273,Ace Ventura: When Nature Calls,30000000.0,212385533.0,182385533.0,
11517,Money Train,60000000.0,35431113.0,-24568887.0,
8012,Get Shorty,30250000.0,115101622.0,84851622.0,3.842696629213483
1710,Copycat,0.0,0.0,0.0,2.1607142857142856
9691,Assassins,50000000.0,30303072.0,-19696928.0,
12665,Powder,0.0,0.0,0.0,
451,Leaving Las Vegas,3600000.0,49800000.0,46200000.0,3.0541158536585367
16420,Othello,0.0,0.0,0.0,
9263,Now and Then,12000000.0,27400000.0,15400000.0,
17015,Persuasion,0.0,0.0,0.0,
902,The City of Lost Children,18000000.0,1738611.0,-16261389.0,3.821982549684925
37557,Shanghai Triad,0.0,0.0,0.0,
9909,Dangerous Minds,0.0,180000000.0,180000000.0,
63,Twelve Monkeys,29500000.0,168840000.0,139340000.0,3.114120283899888
78802,Wings of Courage,0.0,0.0,0.0,
9598,Babe,30000000.0,254134910.0,224134910.0,
47018,Carrington,0.0,0.0,0.0,
687,Dead Man Walking,11000000.0,39363635.0,28363635.0,2.9950980392156863
139405,Across the Sea of Time,0.0,0.0,0.0,2.25
33689,It Takes Two,0.0,0.0,0.0,
9603,Clueless,12000000.0,0.0,-12000000.0,
34615,"Cry, the Beloved Country",0.0,676525.0,676525.0,
31174,Richard III,0.0,0.0,0.0,
11443,Dead Presidents,10000000.0,0.0,-10000000.0,
35196,Restoration,19000000.0,0.0,-19000000.0,
9312,Mortal Kombat,18000000.0,122195920.0,104195920.0,
577,To Die For,20000000.0,21284514.0,1284514.0,2.8165413533834585
11861,How To Make An American Quilt,10000000.0,23574130.0,13574130.0,
807,Se7en,33000000.0,327311859.0,294311859.0,3.2782805429864252
10530,Pocahontas,55000000.0,346079773.0,291079773.0,
8391,When Night Is Falling,0.0,0.0,0.0,3.473333333333333
629,The Usual Suspects,6000000.0,23341568.0,17341568.0,3.1551724137931036
117164,Guardian Angel,0.0,0.0,0.0,
11448,Mighty Aphrodite,15000000.0,6700000.0,-8300000.0,
49133,Lamerica,0.0,0.0,0.0,
26441,The Big Green,0.0,0.0,0.0,
97406,Georgia,0.0,0.0,0.0,
124057,Kids of the Round Table,0.0,0.0,0.0,
9089,Home for the Holidays,0.0,17519169.0,17519169.0,
11010,The Postman,0.0,0.0,0.0,
99040,The Confessional,0.0,0.0,0.0,
11359,The Indian in the Cupboard,45000000.0,0.0,-45000000.0,
17182,Eye for an Eye,20000000.0,0.0,-20000000.0,
2054,Mr. Holland's Opus,0.0,106269971.0,106269971.0,2.703222204498325
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0,0.0,0.0,
19760,Two If by Sea,0.0,0.0,0.0,
9536,Bio-Dome,15000000.0,0.0,-15000000.0,
11525,Lawnmower Man 2: Beyond Cyberspace,0.0,2409225.0,2409225.0,
40628,Two Bits,0.0,0.0,0.0,
4482,French Twist,0.0,0.0,0.0,2.731638418079096
10634,Friday,3500000.0,28215918.0,24715918.0,
755,From Dusk Till Dawn,19000000.0,25836616.0,6836616.0,3.375796178343949
11859,Fair Game,50000000.0,11534477.0,-38465523.0,
28387,Kicking and Screaming,0.0,718490.0,718490.0,
48750,Les Miserables,0.0,0.0,0.0,
20927,Bed of Roses,0.0,19030691.0,19030691.0,
36929,Big Bully,15000000.0,2042530.0,-12957470.0,
9102,Screamers,20000000.0,5781885.0,-14218115.0,
124626,Nico Icon,0.0,0.0,0.0,
27526,The Crossing Guard,0.0,0.0,0.0,2.6666666666666665
9623,The Juror,44000000.0,0.0,-44000000.0,
46785,The White Balloon,0.0,0.0,0.0,
400,Things to Do in Denver When You're Dead,8000000.0,529766.0,-7470234.0,2.5454545454545454
880,Antonia's Line,900000.0,0.0,-900000.0,2.496205872649291
146599,Once Upon a Time... When We Were Colored,0.0,0.0,0.0,
188588,Last Summer in the Hamptons,0.0,0.0,0.0,
8447,Angels and Insects,0.0,0.0,0.0,2.8268156424581004
10534,White Squall,38000000.0,10300000.0,-27700000.0,
17414,Dunston Checks In,16000000.0,0.0,-16000000.0,
13997,Black Sheep,0.0,32.0,32.0,
2086,Nick of Time,8169363.0,8175346.0,5983.0,3.0730593607305936
61548,The Journey of August King,0.0,0.0,0.0,
9095,Mary Reilly,47000000.0,12379402.0,-34620598.0,
12158,Vampire in Brooklyn,14000000.0,19800000.0,5800000.0,
9283,Beautiful Girls,0.0,0.0,0.0,
9208,Broken Arrow,50000000.0,150270147.0,100270147.0,
40154,A Midwinter's Tale,0.0,0.0,0.0,
406,La Haine,3000000.0,0.0,-3000000.0,3.079710144927536
45549,Shopping,0.0,0.0,0.0,
63076,Heidi Fleiss: Hollywood Madam,0.0,0.0,0.0,
11062,City Hall,0.0,0.0,0.0,
13685,Bottle Rocket,7000000.0,560069.0,-6439931.0,
47475,Mr. Wrong,0.0,0.0,0.0,
2045,Unforgettable,18000000.0,0.0,-18000000.0,3.3775981524249423
9614,Happy Gilmore,12000000.0,41205099.0,29205099.0,
688,The Bridges of Madison County,24000000.0,182016617.0,158016617.0,2.592657903174094
11907,Nobody Loves Me,0.0,0.0,0.0,
10874,Muppet Treasure Island,0.0,34327391.0,34327391.0,
89333,Catwalk,0.0,0.0,0.0,
96357,Headless Body in Topless Bar,0.0,0.0,0.0,
197,Braveheart,72000000.0,210000000.0,138000000.0,3.075221238938053
103,Taxi Driver,1300000.0,28262574.0,26962574.0,3.2730290456431534
33542,Rumble in the Bronx,7500000.0,32392047.0,24892047.0,
43566,Before and After,35000000.0,0.0,-35000000.0,
71754,Margaret's Museum,0.0,0.0,0.0,
43612,Happiness Is in the Field,13365000.0,0.0,-13365000.0,
51352,Anne Frank Remembered,0.0,1.0,1.0,
16934,The Young Poisoner's Handbook,0.0,0.0,0.0,
10324,If Lucy Fell,0.0,0.0,0.0,
78406,Steal Big Steal Little,25000000.0,6278139.0,-18721861.0,
55731,Race the Sun,0.0,0.0,0.0,
32119,The Boys of St. Vincent,0.0,0.0,0.0,
11066,Boomerang,40000000.0,70100000.0,30100000.0,
11104,Chungking Express,0.0,0.0,0.0,
37975,The Star Maker,0.0,0.0,0.0,
2074,Flirting with Disaster,7000000.0,14702438.0,7702438.0,3.4792332268370605
27793,The Neverending Story III: Escape from Fantasia,17000000.0,0.0,-17000000.0,1.994199535962877
44284,The Silences of the Palace,0.0,0.0,0.0,
290157,Jupiter's Wife,0.0,0.0,0.0,
110972,Pie in the Sky,0.0,0.0,0.0,
32622,Angela,0.0,0.0,0.0,
73067,Frankie Starlight,0.0,0.0,0.0,
11863,Jade,50000000.0,9851610.0,-40148390.0,
55475,Nueba Yol,0.0,0.0,0.0,
124636,Sonic Outlaws,0.0,0.0,0.0,
9101,Down Periscope,0.0,0.0,0.0,
123360,From the Journals of Jean Seberg,0.0,0.0,0.0,
5757,Man of the Year,0.0,209935.0,209935.0,1.6
39428,The Neon Bible,0.0,0.0,0.0,
124639,Target,0.0,0.0,0.0,2.5
9302,Up Close & Personal,60000000.0,0.0,-60000000.0,
11000,The Birdcage,31000000.0,185260553.0,154260553.0,
249882,Virgin Mary,0.0,0.0,0.0,
16388,The Brothers McMullen,0.0,0.0,0.0,
9737,Bad Boys,19000000.0,141407024.0,122407024.0,
30765,The Amazing Panda Adventure,0.0,0.0,0.0,
10474,The Basketball Diaries,0.0,0.0,0.0,
22279,An Awfully Big Adventure,4000000.0,851545.0,-3148455.0,
30157,Amateur,0.0,0.0,0.0,
568,Apollo 13,52000000.0,355237933.0,303237933.0,3.551898734177215
11780,Rob Roy,28000000.0,31596911.0,3596911.0,
34996,The Addiction,0.0,0.0,0.0,
414,Batman Forever,100000000.0,336529144.0,236529144.0,2.615926327193933
649,Belle de Jour,0.0,0.0,0.0,3.7260273972602738
1873,Beyond Rangoon,0.0,0.0,0.0,3.7219866747425803
5894,Blue in the Face,2000000.0,1275000.0,-725000.0,1.8333333333333333
1775,Canadian Bacon,11000000.0,178104.0,-10821896.0,
8839,Casper,50000000.0,287928194.0,237928194.0,1.8035714285714286
20649,Clockers,25000000.0,13071518.0,-11928482.0,
10329,Congo,50000000.0,152022101.0,102022101.0,
8963,Crimson Tide,53000000.0,157387195.0,104387195.0,2.624
26564,Crumb,0.0,3174695.0,3174695.0,3.624401913875598
8068,Desperado,7000000.0,25405445.0,18405445.0,3.6964285714285716
8512,Devil in a Blue Dress,27000000.0,16140822.0,-10859178.0,3.3027777777777776
1572,Die Hard: With a Vengeance,90000000.0,366101666.0,276101666.0,3.829846582984658
13552,The Doom Generation,0.0,0.0,0.0,
259209,Feast of July,0.0,0.0,0.0,
6520,First Knight,55000000.0,127600435.0,72600435.0,3.0961538461538463
9073,Free Willy 2 - The Adventure Home,0.0,0.0,0.0,
10428,Hackers,20000000.0,7563728.0,-12436272.0,
17447,Jeffrey,0.0,0.0,0.0,
9886,Johnny Mnemonic,25000000.0,19075720.0,-5924280.0,
9482,Judge Dredd,90000000.0,113493481.0,23493481.0,
19326,Jury Duty,0.0,17014653.0,17014653.0,
9344,Kids,1500000.0,7412216.0,5912216.0,
9071,Living in Oblivion,500000.0,1148752.0,648752.0,
8973,Lord of Illusions,0.0,0.0,0.0,3.812637362637363
15730,Love & Human Remains,0.0,0.0,0.0,
47608,Mad Love,0.0,15453274.0,15453274.0,
2293,Mallrats,6000000.0,2122561.0,-3877439.0,3.3505747126436782
9070,Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,51000000.0,
68274,Moonlight and Valentino,0.0,0.0,0.0,
48787,Mute Witness,2.0,1.0,-1.0,
34574,Nadja,0.0,0.0,0.0,
1642,The Net,22000000.0,110627965.0,88627965.0,3.078038674033149
11472,Nine Months,0.0,69660733.0,69660733.0,
36196,Party Girl,150000.0,472370.0,322370.0,
11980,The Prophecy,8.0,16.0,8.0,
58372,Reckless,0.0,0.0,0.0,
32646,Safe,0.0,0.0,0.0,3.5454545454545454
10533,The Scarlet Letter,50000000.0,10382407.0,-39617593.0,
56088,The Show,0.0,0.0,0.0,
10802,Showgirls,45000000.0,20350754.0,-24649246.0,
10149,Smoke,7000000.0,8349430.0,1349430.0,
18402,Something to Talk About,0.0,50892160.0,50892160.0,
9348,Species,35000000.0,113374103.0,78374103.0,
139408,The Stars Fell on Henrietta,0.0,0.0,0.0,
281,Strange Days,42000000.0,7959291.0,-34040709.0,3.6585127201565557
5967,The Umbrellas of Cherbourg,0.0,0.0,0.0,2.5
79593,The Tie That Binds,14000000.0,5780000.0,-8220000.0,
47939,Three Wishes,0.0,7025496.0,7025496.0,
36834,Total Eclipse,0.0,339889.0,339889.0,
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",0.0,47774193.0,47774193.0,
3512,Under Siege 2: Dark Territory,60000000.0,104324083.0,44324083.0,3.5611729019211324
52856,Unstrung Heroes,0.0,0.0,0.0,
77350,Unzipped,0.0,0.0,0.0,
9560,A Walk in the Clouds,20000000.0,50012507.0,30012507.0,
