movieid,collectionname,productioncompanies,productioncountries,countryabb,releaseyear
862,Toy Story Collection,Pixar Animation Studios,United States of America,US,1995.0
8844,,"TriStar Pictures, Teitler Film, Interscope Communications",United States of America,US,1995.0
15602,Grumpy Old Men Collection,"Warner Bros., Lancaster Gate",United States of America,US,1995.0
31357,,Twentieth Century Fox Film Corporation,United States of America,US,1995.0
11862,Father of the Bride Collection,"Sandollar Productions, Touchstone Pictures",United States of America,US,1995.0
949,,"Regency Enterprises, Forward Pass, Warner Bros.",United States of America,US,1995.0
11860,,"Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH","Germany, United States of America",US,1995.0
45325,,Walt Disney Pictures,United States of America,US,1995.0
9091,,"Universal Pictures, Imperial Entertainment, Signature Entertainment",United States of America,US,1995.0
710,James Bond Collection,"United Artists, Eon Productions","United Kingdom, United States of America",US,1995.0
9087,,"Columbia Pictures, Castle Rock Entertainment",United States of America,US,1995.0
12110,,"Columbia Pictures, Castle Rock Entertainment, Enigma Pictures","France, United States of America",US,1995.0
21032,Balto Collection,"Universal Pictures, Amblin Entertainment, Amblimation",United States of America,US,1995.0
10858,,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,US,1995.0
1408,,"Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures","France, Germany, Italy, United States of America",US,1995.0
524,,"Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa","France, United States of America",US,1995.0
4584,,"Columbia Pictures Corporation, Mirage Enterprises","United Kingdom, United States of America",US,1995.0
5,,"Miramax Films, A Band Apart",United States of America,US,1995.0
9273,Ace Ventura Collection,"O Entertainment, Warner Bros., Morgan Creek Productions",United States of America,US,1995.0
11517,,Columbia Pictures,United States of America,US,1995.0
8012,Chili Palmer Collection,"Jersey Films, Metro-Goldwyn-Mayer (MGM)",United States of America,US,1995.0
1710,,"Regency Enterprises, New Regency Pictures",United States of America,US,1995.0
9691,,"Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar","France, United States of America",US,1995.0
12665,,"Caravan Pictures, Hollywood Pictures",United States of America,US,1995.0
451,,"United Artists, Intial Productions",United States of America,US,1995.0
16420,,"Columbia Pictures, Castle Rock Entertainment",Italy,IT,1995.0
9263,,New Line Cinema,United States of America,US,1995.0
17015,,BBC Films,"United Kingdom, France",FR,1995.0
